DATE TIME,BDM
2018-01-30,71.0
2018-01-31,68.0
2018-02-01,68.0
2018-02-02,70.0
2018-02-03,72.0
2018-02-04,69.0
2018-02-05,67.0
2018-02-06,61.0
2018-02-07,71.0
2018-02-08,69.0
2018-02-09,67.0
2018-02-10,62.0
2018-02-11,61.0
2018-02-12,39.0
2018-02-13,53.0
2018-02-14,58.0
2018-02-15,52.0
2018-02-16,56.0
2018-02-17,63.0
2018-02-18,53.0
2018-02-19,35.0
2018-02-20,39.0
2018-02-21,42.0
2018-02-22,34.0
2018-02-23,41.0
2018-02-24,47.0
2018-02-25,48.0
2018-02-26,39.0
2018-02-27,36.0
2018-02-28,42.0
2018-03-01,37.0
2018-03-02,37.0
2018-03-03,41.0
2018-03-04,43.0
2018-03-05,53.0
2018-03-06,63.0
2018-03-07,64.0
2018-03-08,65.0
2018-03-09,60.0
2018-03-10,55.0
2018-03-11,59.0
2018-03-12,66.0
2018-03-13,53.0
2018-03-14,43.0
2018-03-15,46.0
2018-03-16,35.0
2018-03-17,40.0
2018-03-18,45.0
2018-03-19,56.0
2018-03-20,52.0
2018-03-21,49.0
2018-03-22,49.0
2018-03-23,44.0
2018-03-24,45.0
2018-03-25,44.0
2018-03-26,49.0
2018-03-27,56.0
2018-03-28,65.0
2018-03-29,69.0
2018-03-30,73.0
2018-03-31,68.0
2018-04-01,71.0
2018-04-02,68.0
2018-04-03,65.0
2018-04-04,67.0
2018-04-05,68.0
2018-04-06,59.0
2018-04-07,56.0
2018-04-08,59.0
2018-04-09,75.0
2018-04-10,75.0
2018-04-11,62.0
2018-04-12,48.0
2018-04-13,53.0
2018-04-14,68.0
2018-04-15,63.0
2018-04-16,41.0
2018-04-17,47.0
2018-04-18,55.0
2018-04-19,45.0
2018-04-20,61.0
2018-04-21,70.0
2018-04-22,73.0
2018-04-23,75.0
2018-04-24,77.0
2018-04-25,76.0
2018-04-26,72.0
2018-04-27,62.0
2018-04-28,61.0
2018-04-29,51.0
2018-04-30,51.0
2018-05-01,49.0
2018-05-02,62.0
2018-05-03,69.0
2018-05-04,77.0
2018-05-05,78.0
2018-05-06,73.0
2018-05-07,74.0
2018-05-08,76.0
2018-05-09,75.0
2018-05-10,72.0
2018-05-11,68.0
2018-05-12,66.0
2018-05-13,68.0
2018-05-14,68.0
2018-05-15,68.0
2018-05-16,56.0
2018-05-17,64.0
2018-05-18,67.0
2018-05-19,72.0
2018-05-20,66.0
2018-05-21,64.0
