date,total_value
1970-01-01 00:00:00.000000656,
1970-01-01 00:00:00.000000657,
1970-01-01 00:00:00.000000658,
1970-01-01 00:00:00.000000659,
1970-01-01 00:00:00.000000660,
1970-01-01 00:00:00.000000661,
1970-01-01 00:00:00.000000662,
1970-01-01 00:00:00.000000663,
1970-01-01 00:00:00.000000664,
1970-01-01 00:00:00.000000665,
1970-01-01 00:00:00.000000666,
1970-01-01 00:00:00.000000667,
1970-01-01 00:00:00.000000668,
1970-01-01 00:00:00.000000669,
1970-01-01 00:00:00.000000670,
1970-01-01 00:00:00.000000671,
1970-01-01 00:00:00.000000672,
1970-01-01 00:00:00.000000673,
1970-01-01 00:00:00.000000674,
1970-01-01 00:00:00.000000675,
1970-01-01 00:00:00.000000676,
1970-01-01 00:00:00.000000677,
1970-01-01 00:00:00.000000678,
1970-01-01 00:00:00.000000679,
1970-01-01 00:00:00.000000680,
1970-01-01 00:00:00.000000681,
1970-01-01 00:00:00.000000682,
1970-01-01 00:00:00.000000683,
1970-01-01 00:00:00.000000684,
1970-01-01 00:00:00.000000685,
1970-01-01 00:00:00.000000686,
1970-01-01 00:00:00.000000687,
1970-01-01 00:00:00.000000688,
1970-01-01 00:00:00.000000689,
1970-01-01 00:00:00.000000690,
1970-01-01 00:00:00.000000691,
1970-01-01 00:00:00.000000692,
1970-01-01 00:00:00.000000693,
1970-01-01 00:00:00.000000694,
1970-01-01 00:00:00.000000695,
1970-01-01 00:00:00.000000696,
1970-01-01 00:00:00.000000697,
1970-01-01 00:00:00.000000698,
1970-01-01 00:00:00.000000699,
1970-01-01 00:00:00.000000700,
1970-01-01 00:00:00.000000701,
1970-01-01 00:00:00.000000702,
1970-01-01 00:00:00.000000703,
1970-01-01 00:00:00.000000704,
1970-01-01 00:00:00.000000705,
1970-01-01 00:00:00.000000706,
