,timestamp,action,price,size,regime,pnl,exit_reason
209,2024-07-25 16:00:00,SELL,220.2089,,bear_high_vol,116222.49999999994,profit_target
210,2024-07-26 09:00:00,BUY,219.63,0.25,bull_high_vol,,
211,2024-07-29 08:00:00,SELL,218.29,,none,-33500.00000000009,time_exit
212,2024-07-30 16:00:00,BUY,216.15,0.25,bear_high_vol,,
213,2024-07-30 18:00:00,SELL,218.2,,bull_high_vol,51249.99999999957,signal
214,2024-08-01 15:00:00,BUY,219.8,0.25,bear_high_vol,,
215,2024-08-02 10:00:00,SELL,220.47,,bear_high_vol,16749.999999999687,signal
216,2024-08-05 11:00:00,BUY,203.07,0.19578777450552448,bear_high_vol,,
217,2024-08-05 12:00:00,SELL,197.65,,bear_high_vol,-106116.97378199403,stop_loss
218,2024-08-19 15:00:00,BUY,223.8647,0.25,bear_high_vol,,
219,2024-08-19 16:00:00,SELL,224.375,,bull_high_vol,12757.500000000022,signal
220,2024-08-22 17:00:00,BUY,224.39,0.25,bear_high_vol,,
221,2024-08-23 09:00:00,SELL,225.7,,bear_high_vol,32750.00000000006,signal
222,2024-08-27 12:00:00,BUY,225.7,0.25,bear_high_vol,,
223,2024-08-27 13:00:00,SELL,226.745,,bear_high_vol,26125.000000000397,signal
224,2024-08-29 12:00:00,BUY,226.49,0.25,bear_high_vol,,
225,2024-08-29 13:00:00,SELL,231.57,,bull_high_vol,126999.9999999996,profit_target
226,2024-09-03 14:00:00,BUY,223.645,0.25,bear_high_vol,,
227,2024-09-04 14:00:00,SELL,219.45,,bear_high_vol,-104875.00000000054,time_exit
228,2024-09-04 15:00:00,BUY,219.32,0.25,bear_high_vol,,
229,2024-09-04 23:00:00,SELL,220.0,,none,17000.00000000017,signal
230,2024-09-06 10:00:00,BUY,220.95,0.25,bull_high_vol,,
231,2024-09-06 12:00:00,SELL,223.4,,bull_high_vol,61250.00000000043,signal
232,2024-09-09 14:00:00,BUY,217.2,0.25,bear_high_vol,,
233,2024-09-09 19:00:00,SELL,220.99,,bull_high_vol,94750.00000000051,signal
234,2024-09-16 08:00:00,BUY,219.21,0.25,bear_high_vol,,
235,2024-09-17 08:00:00,SELL,216.52,,none,-67249.99999999994,time_exit
236,2024-09-23 12:00:00,BUY,227.1995,0.25,bear_high_vol,,
237,2024-09-23 14:00:00,SELL,228.705,,bull_high_vol,37637.5000000003,signal
238,2024-09-25 22:00:00,BUY,225.95,0.25,bear_high_vol,,
239,2024-09-26 08:00:00,SELL,227.95,,bull_high_vol,50000.0,signal
240,2024-09-26 13:00:00,BUY,226.52,0.25,bull_high_vol,,
