,timestamp,action,price,size,stop_loss,take_profit,regime,pnl,reason
185,2024-08-13 12:00:00,SELL,194.13,2370,,,bear_high_vol,6825.599999999989,technical
186,2024-08-14 13:00:00,BUY,193.76,350,191.26,198.76,bull_high_vol,,
187,2024-08-14 14:00:00,SELL,196.505,350,,,bull_high_vol,960.7500000000016,technical
188,2024-08-20 14:00:00,BUY,195.48,490,192.98,200.48,bear_high_vol,,
189,2024-08-20 16:00:00,SELL,192.426,490,,,bear_high_vol,-1496.460000000001,stop_or_target
190,2024-08-27 13:00:00,BUY,195.38,719,192.88,200.38,bear_high_vol,,
191,2024-08-27 21:00:00,SELL,195.6,719,,,bear_high_vol,158.17999999999918,stop_or_target
192,2024-08-29 12:00:00,BUY,194.0,491,191.5,199.0,bull_high_vol,,
193,2024-08-29 13:00:00,SELL,194.42,491,,,bull_high_vol,206.21999999999386,technical
194,2024-09-03 15:00:00,BUY,174.31,832,171.81,179.31,bear_high_vol,,
195,2024-09-03 16:00:00,SELL,171.7958,832,,,bear_high_vol,-2091.81439999999,stop_or_target
196,2024-09-04 13:00:00,BUY,163.65,851,161.15,168.65,bear_high_vol,,
197,2024-09-04 15:00:00,SELL,167.45,851,,,bear_high_vol,3233.7999999999856,technical
198,2024-09-06 13:00:00,BUY,159.02,751,156.52,164.02,bear_high_vol,,
199,2024-09-06 14:00:00,SELL,154.02,751,,,bear_high_vol,-3755.0,stop_or_target
200,2024-09-06 15:00:00,BUY,151.8641,656,149.3641,156.8641,bear_high_vol,,
201,2024-09-06 16:00:00,SELL,149.19,656,,,bear_high_vol,-1754.2096000000065,stop_or_target
202,2024-09-16 11:00:00,BUY,160.0,2753,157.54771638838312,164.90456722323376,bear_high_vol,,
203,2024-09-16 13:00:00,SELL,160.275,2753,,,bear_high_vol,757.0750000000156,technical
204,2024-09-24 14:00:00,BUY,166.895,802,164.395,171.895,bear_high_vol,,
205,2024-09-24 17:00:00,SELL,170.408,802,,,bear_high_vol,2817.4259999999813,technical
206,2024-09-30 15:00:00,BUY,179.2163,791,176.7163,184.2163,bear_high_vol,,
207,2024-09-30 17:00:00,SELL,180.37,791,,,bear_high_vol,912.5767000000117,technical
208,2024-10-01 13:00:00,BUY,171.98,754,169.48,176.98,bear_high_vol,,
209,2024-10-01 14:00:00,SELL,165.575,754,,,bear_high_vol,-4829.370000000001,stop_or_target
210,2024-10-02 13:00:00,BUY,162.55,1275,160.05,167.55,bear_high_vol,,
211,2024-10-02 14:00:00,SELL,164.0,1275,,,bear_high_vol,1848.7499999999854,technical
212,2024-10-10 14:00:00,BUY,163.92,918,161.42,168.92,bear_high_vol,,
213,2024-10-11 11:00:00,SELL,166.95,918,,,bear_high_vol,2781.540000000001,technical
214,2024-10-23 12:00:00,BUY,205.27,1119,202.77,210.27,bear_high_vol,,
215,2024-10-23 13:00:00,SELL,209.15,1119,,,bear_high_vol,4341.719999999995,technical
216,2024-10-30 11:00:00,BUY,214.73,1703,212.23,219.73,bear_high_vol,,
217,2024-10-30 14:00:00,SELL,219.96,1703,,,bear_high_vol,8906.690000000031,stop_or_target
218,2024-10-31 10:00:00,BUY,207.69,770,205.19,212.69,bear_high_vol,,
219,2024-10-31 13:00:00,SELL,195.6011,770,,,bear_high_vol,-9308.452999999996,stop_or_target
220,2024-10-31 14:00:00,BUY,191.69,415,189.19,196.69,bear_high_vol,,
221,2024-10-31 16:00:00,SELL,189.0217,415,,,bear_high_vol,-1107.344499999995,stop_or_target
222,2024-11-05 12:00:00,BUY,184.83,1354,182.33,189.83,bull_high_vol,,
223,2024-11-05 14:00:00,SELL,191.575,1354,,,bull_high_vol,9132.729999999967,stop_or_target
224,2024-11-14 14:00:00,BUY,281.3,303,278.8,286.3,bear_high_vol,,
225,2024-11-14 15:00:00,SELL,275.49,303,,,bear_high_vol,-1760.4300000000007,stop_or_target
226,2024-11-21 14:00:00,BUY,309.37,216,306.87,314.37,bear_high_vol,,
227,2024-11-21 15:00:00,SELL,297.43,216,,,bear_high_vol,-2579.0399999999995,stop_or_target
228,2024-11-22 12:00:00,BUY,296.19,750,293.69,301.19,bear_high_vol,,
229,2024-11-22 13:00:00,SELL,289.65,750,,,bear_high_vol,-4905.0000000000155,stop_or_target
230,2024-12-06 10:00:00,BUY,323.45,752,320.95,328.45,bear_high_vol,,
231,2024-12-06 12:00:00,SELL,320.81,752,,,bear_high_vol,-1985.2799999999897,stop_or_target
232,2024-12-09 15:00:00,BUY,316.68,252,314.18,321.68,bear_high_vol,,
233,2024-12-09 17:00:00,SELL,314.45,252,,,bear_high_vol,-561.9600000000046,stop_or_target
234,2024-12-10 15:00:00,BUY,306.5,371,304.0,311.5,bear_high_vol,,
235,2024-12-10 17:00:00,SELL,303.39,371,,,bear_high_vol,-1153.810000000005,stop_or_target
236,2024-12-13 15:00:00,BUY,305.71,469,303.21,310.71,bear_high_vol,,
237,2024-12-13 16:00:00,SELL,313.85,469,,,bear_high_vol,3817.6600000000203,stop_or_target
238,2024-12-18 13:00:00,BUY,308.67,1038,306.17,313.67,bear_high_vol,,
239,2024-12-18 14:00:00,SELL,306.0766,1038,,,bear_high_vol,-2691.9492000000323,stop_or_target
240,2024-12-19 11:00:00,BUY,289.42,1538,286.92,294.42,bear_high_vol,,
241,2024-12-19 14:00:00,SELL,286.07,1538,,,bear_high_vol,-5152.300000000035,stop_or_target
242,2024-12-30 14:00:00,BUY,250.01,469,247.51,255.01,bear_high_vol,,
243,2024-12-30 17:00:00,SELL,255.91,469,,,bear_high_vol,2767.1000000000026,stop_or_target
