DATE TIME,KSP
2018-03-24,13.0
2018-03-25,13.0
2018-03-26,11.0
2018-03-27,20.0
2018-03-28,33.0
2018-03-29,35.0
2018-03-30,33.0
2018-03-31,34.0
2018-04-01,32.0
2018-04-02,31.0
2018-04-03,29.0
2018-04-04,32.0
2018-04-05,32.0
2018-04-06,32.0
2018-04-07,26.0
2018-04-08,25.0
2018-04-09,38.0
2018-04-10,36.0
2018-04-11,21.0
2018-04-12,11.0
2018-04-13,21.0
2018-04-14,31.0
2018-04-15,26.0
2018-04-16,10.0
2018-04-17,9.0
2018-04-18,20.0
2018-04-19,16.0
2018-04-20,24.0
2018-04-21,35.0
2018-04-22,36.0
2018-04-23,34.0
2018-04-24,36.0
2018-04-25,39.0
2018-04-26,41.0
2018-04-27,30.0
2018-04-28,26.0
2018-04-29,25.0
2018-04-30,24.0
2018-05-01,23.0
2018-05-02,24.0
2018-05-03,29.0
2018-05-04,34.0
2018-05-05,39.0
2018-05-06,42.0
2018-05-07,41.0
2018-05-08,46.0
2018-05-09,38.0
2018-05-10,37.0
2018-05-11,27.0
2018-05-12,25.0
2018-05-13,27.0
2018-05-14,33.0
2018-05-15,31.0
2018-05-16,28.0
2018-05-17,26.0
2018-05-18,34.0
2018-05-19,35.0
2018-05-20,33.0
2018-05-21,35.0
2018-05-22,34.0
2018-05-23,34.0
2018-05-24,36.0
2018-05-25,31.0
2018-05-26,29.0
2018-05-27,31.0
2018-05-28,39.0
2018-05-29,42.0
2018-05-30,40.0
2018-05-31,33.0
2018-06-01,32.0
2018-06-02,45.0
2018-06-03,46.0
2018-06-04,46.0
2018-06-05,42.0
2018-06-06,39.0
2018-06-07,36.0
2018-06-08,44.0
2018-06-09,36.0
2018-06-10,36.0
2018-06-11,45.0
2018-06-12,48.0
2018-06-13,49.0
2018-06-14,47.0
2018-06-15,44.0
2018-06-16,40.0
2018-06-17,34.0
2018-06-18,32.0
2018-06-19,41.0
2018-06-20,49.0
2018-06-21,51.0
2018-06-22,48.0
2018-06-23,49.0
2018-06-24,54.0
2018-06-25,54.0
