DATE TIME,BDM
2016-11-12,52.0
2016-11-13,50.0
2016-11-14,53.0
2016-11-15,46.0
2016-11-16,32.0
2016-11-17,32.0
2016-11-18,40.0
2016-11-19,46.0
2016-11-20,39.0
2016-11-21,35.0
2016-11-22,33.0
2016-11-23,33.0
2016-11-24,33.0
2016-11-25,42.0
2016-11-26,32.0
2016-11-27,31.0
2016-11-28,32.0
2016-11-29,33.0
2016-11-30,33.0
2016-12-01,32.0
2016-12-02,30.0
2016-12-03,30.0
2016-12-04,38.0
2016-12-05,35.0
2016-12-06,27.0
2016-12-07,26.0
2016-12-08,35.0
2016-12-09,44.0
2016-12-10,43.0
2016-12-11,42.0
2016-12-12,39.0
2016-12-13,42.0
2016-12-14,44.0
2016-12-15,43.0
2016-12-16,24.0
2016-12-17,23.0
2016-12-18,25.0
2016-12-19,32.0
2016-12-20,45.0
2016-12-21,42.0
2016-12-22,40.0
2016-12-23,32.0
2016-12-24,24.0
2016-12-25,21.0
2016-12-26,23.0
2016-12-27,35.0
2016-12-28,43.0
2016-12-29,48.0
2016-12-30,34.0
2016-12-31,32.0
2017-01-01,30.0
2017-01-02,28.0
2017-01-03,30.0
2017-01-04,36.0
2017-01-05,31.0
2017-01-06,26.0
2017-01-07,38.0
2017-01-08,46.0
2017-01-09,35.0
2017-01-10,35.0
2017-01-11,35.0
2017-01-12,32.0
2017-01-13,28.0
2017-01-14,35.0
2017-01-15,34.0
2017-01-16,35.0
2017-01-17,34.0
2017-01-18,32.0
2017-01-19,32.0
2017-01-20,31.0
2017-01-21,30.0
2017-01-22,32.0
2017-01-23,25.0
2017-01-24,21.0
2017-01-25,21.0
2017-01-26,26.0
2017-01-27,27.0
2017-01-28,37.0
2017-01-29,42.0
2017-01-30,45.0
2017-01-31,44.0
2017-02-01,42.0
2017-02-02,34.0
2017-02-03,
2017-02-04,35.0
2017-02-05,37.0
2017-02-06,37.0
2017-02-07,38.0
2017-02-08,46.0
2017-02-09,45.0
2017-02-10,35.0
2017-02-11,32.0
2017-02-12,38.0
2017-02-13,41.0
2017-02-14,43.0
2017-02-15,46.0
2017-02-16,38.0
2017-02-17,38.0
2017-02-18,36.0
2017-02-19,37.0
2017-02-20,38.0
2017-02-21,37.0
2017-02-22,25.0
2017-02-23,22.0
2017-02-24,22.0
2017-02-25,27.0
2017-02-26,26.0
2017-02-27,29.0
2017-02-28,27.0
2017-03-01,30.0
2017-03-02,37.0
2017-03-03,41.0
2017-03-04,40.0
2017-03-05,21.0
2017-03-06,20.0
2017-03-07,31.0
2017-03-08,39.0
2017-03-09,44.0
2017-03-10,48.0
2017-03-11,46.0
2017-03-12,45.0
2017-03-13,50.0
2017-03-14,52.0
2017-03-15,52.0
2017-03-16,50.0
2017-03-17,49.0
2017-03-18,50.0
2017-03-19,48.0
2017-03-20,45.0
2017-03-21,42.0
2017-03-22,34.0
2017-03-23,31.0
2017-03-24,37.0
2017-03-25,36.0
2017-03-26,36.0
2017-03-27,36.0
2017-03-28,34.0
2017-03-29,39.0
2017-03-30,33.0
2017-03-31,34.0
2017-04-01,39.0
2017-04-02,45.0
2017-04-03,45.0
2017-04-04,45.0
2017-04-05,48.0
2017-04-06,43.0
2017-04-07,37.0
2017-04-08,30.0
2017-04-09,28.0
2017-04-10,35.0
2017-04-11,41.0
2017-04-12,41.0
2017-04-13,35.0
2017-04-14,32.0
2017-04-15,35.0
2017-04-16,43.0
2017-04-17,45.0
2017-04-18,41.0
2017-04-19,39.0
2017-04-20,39.0
2017-04-21,43.0
2017-04-22,47.0
2017-04-23,43.0
2017-04-24,43.0
2017-04-25,39.0
2017-04-26,43.0
2017-04-27,41.0
2017-04-28,42.0
2017-04-29,41.0
2017-04-30,47.0
2017-05-01,52.0
2017-05-02,55.0
2017-05-03,58.0
2017-05-04,60.0
2017-05-05,53.0
2017-05-06,39.0
2017-05-07,35.0
2017-05-08,40.0
2017-05-09,47.0
2017-05-10,52.0
2017-05-11,51.0
2017-05-12,36.0
2017-05-13,35.0
2017-05-14,38.0
2017-05-15,40.0
2017-05-16,39.0
2017-05-17,40.0
2017-05-18,42.0
2017-05-19,48.0
2017-05-20,53.0
2017-05-21,57.0
2017-05-22,61.0
2017-05-23,62.0
2017-05-24,58.0
2017-05-25,49.0
2017-05-26,44.0
2017-05-27,42.0
2017-05-28,52.0
2017-05-29,59.0
2017-05-30,59.0
2017-05-31,47.0
2017-06-01,48.0
2017-06-02,53.0
2017-06-03,60.0
2017-06-04,61.0
2017-06-05,58.0
2017-06-06,57.0
2017-06-07,58.0
2017-06-08,53.0
2017-06-09,51.0
2017-06-10,46.0
2017-06-11,35.0
2017-06-12,34.0
2017-06-13,42.0
2017-06-14,50.0
2017-06-15,57.0
2017-06-16,61.0
2017-06-17,65.0
2017-06-18,67.0
2017-06-19,72.0
2017-06-20,72.0
2017-06-21,69.0
2017-06-22,71.0
2017-06-23,71.0
2017-06-24,71.0
2017-06-25,69.0
2017-06-26,63.0
2017-06-27,61.0
2017-06-28,60.0
2017-06-29,61.0
2017-06-30,64.0
2017-07-01,64.0
2017-07-02,63.0
2017-07-03,64.0
2017-07-04,65.0
2017-07-05,67.0
2017-07-06,71.0
2017-07-07,70.0
2017-07-08,71.0
2017-07-09,73.0
2017-07-10,69.0
2017-07-11,68.0
2017-07-12,66.0
2017-07-13,68.0
2017-07-14,68.0
2017-07-15,68.0
2017-07-16,69.0
2017-07-17,68.0
2017-07-18,67.0
2017-07-19,64.0
2017-07-20,63.0
2017-07-21,62.0
2017-07-22,66.0
2017-07-23,68.0
2017-07-24,67.0
2017-07-25,65.0
2017-07-26,64.0
2017-07-27,67.0
2017-07-28,67.0
2017-07-29,67.0
2017-07-30,67.0
2017-07-31,70.0
2017-08-01,72.0
2017-08-02,71.0
2017-08-03,70.0
2017-08-04,68.0
2017-08-05,66.0
2017-08-06,64.0
2017-08-07,64.0
2017-08-08,64.0
2017-08-09,64.0
2017-08-10,64.0
2017-08-11,64.0
2017-08-12,65.0
2017-08-13,64.0
2017-08-14,59.0
2017-08-15,57.0
