Level (AF),incremental In (AF) ,WY 2008,kondolf,Canal Diversions (AF),,,12892.555
"815,702.42","3,453", 413 ,694.2145,3806.27893,,,
"814,242.33","2,662", 409 ,694.2145,4103.79943,,,
"811,697.29","2,943", 409 ,694.2145,4530.24548,,,
"809,007.45","1,797", 409 ,694.2145,5137.1873,,,
"804,564.22","2,297", 409 ,694.2145,5166.93935,,,
"800,591.08","2,497", 409 ,694.2145,4762.31147,,,
"797,222.89","2,465", 395 ,694.2145,4492.55955,,,
"794,106.62","2,035", 385 ,694.2145,4720.6586,,,
"790,341.75","1,989", 389 ,694.2145,5186.77405,,,
"786,061.18","2,220", 389 ,694.2145,5480.32761,,,
"781,717.14","2,352", 389 ,694.2145,5603.30275,,,
"777,383.02","2,055", 389 ,694.2145,5206.60875,,,
"773,148.07","1,908", 373 ,694.2145,4141.48536,,,
"769,847.34","2,065", 367 ,694.2145,3252.8908,,,
